Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0027,0.0018,0.0052,0.2769,0.2826,0.2943,0.4361
be,0.0009,0.0005,0.0075,0.3742,0.3835,0.3942,0.5287
de,0.01,0.0705,0.0054,0.371,0.3786,0.3824,0.5287
en,0.0037,0.0025,0.0077,0.4215,0.435,0.4548,0.5918
es,0.0087,0.0089,0.0085,0.3633,0.3766,0.3753,0.5269
fr,0.0037,0.4967,0.0018,0.1375,0.139,0.1415,0.2475
ja,0.0016,0.0009,0.0065,0.3847,0.3983,0.4042,0.5377
lt,0.0018,0.001,0.007,0.3577,0.3688,0.3788,0.5192
ru,0.0086,0.0168,0.0058,0.4122,0.4251,0.4266,0.5749
uk,0.0072,0.0068,0.0076,0.3994,0.413,0.4254,0.5647
zh,0.008,0.0173,0.0052,0.355,0.3684,0.3684,0.516
